JPT_KOD_JE,JPT_NAZWA_,Dlugosc,Szerokosc
1015022,Głuchów,20.08648,51.79790
1210011,Grybów,20.95072,49.61368
1212011,Bukowno,19.43145,50.25727
1422042,Jednorożec,21.05707,53.16102
2417011,Żywiec,19.21297,49.69558
2807073,Zalewo,19.62312,53.80885
2810011,Mrągowo,21.30289,53.86729
3062011,Konin,18.26214,52.25534
2807011,Iława,19.56592,53.59820
1415032,Czerwin,21.76732,52.95506
620082,Radecznica,22.83706,50.70783
1004011,Łęczyca,19.19769,52.05533
601092,Łomazy,23.19817,51.90209
2613032,Moskorzew,19.93825,50.65725
3009102,Osiek Mały,18.57853,52.27575
1610013,Biała,17.69946,50.42906
2406052,Opatów,18.82992,50.94171
2010092,Siemiatycze,22.85632,52.45394
2201032,Czarna Dąbrówka,17.57754,54.33767
3203013,Czaplinek,16.25866,53.55338
3016013,Oborniki,16.75900,52.65379
1426082,Siedlce,22.29895,52.17459
1419122,Słupno,19.82978,52.51089
2208032,Cewice,17.75027,54.44153
1813102,Żurawica,22.78199,49.84088
2404132,Poczesna,19.13287,50.72334
2402082,Porąbka,19.24385,49.82452
1202033,Czchów,20.66344,49.84265
1406042,Goszczyn,20.85013,51.74246
1218102,Wieprz,19.38127,49.91039
1216072,Rzepiennik Strzyżewski,21.08786,49.79745
1216103,Tuchów,21.04407,49.88662
2203062,Przechlewo,17.24591,53.81716
1611043,Leśnica,18.21086,50.43205
1802032,Dydnia,22.19431,49.68483
1606052,Wilków,17.63785,51.12731
2816013,Biała Piska,22.08522,53.63352
2817072,Świętajno,21.25954,53.58840
3021021,Puszczykowo,16.85468,52.28143
3207023,Golczewo,14.94565,53.83596
3003093,Trzemeszno,17.83873,52.57559
225072,Zgorzelec,15.06996,51.13616
807032,Słońsk,14.83143,52.56883
1062011,Piotrków Trybunalski,19.70571,51.41488
404042,Lisewo,18.66052,53.30078
1004082,Witonia,19.28263,52.13977
1012092,Ładzice,19.30702,51.07493
615082,Wohyń,22.79245,51.76473
3011043,Krzywiń,16.86509,51.98806
1404022,Gostynin,19.42668,52.42919
2612013,Bogoria,21.27355,50.65496
2612073,Staszów,21.20554,50.58157
2604102,Miedziana Góra,20.55181,50.95099
2604112,Mniów,20.46193,51.01568
1424052,Świercze,20.79000,52.67368
3210043,Myślibórz,14.84362,52.94865
1465011,Warszawa,21.04774,52.22933
3006043,Żerków,17.60457,52.07149
1437013,Bieżuń,19.93672,52.95966
1213093,Zator,19.44077,49.99197
601182,Wisznice,23.17851,51.77714
2216053,Sztum,19.01151,53.92772
2207052,Ryjewo,18.97384,53.84796
1012113,Przedbórz,19.96087,51.07848
3209012,Będzino,15.94926,54.19850
2205083,Żukowo,18.38835,54.35201
2206042,Kościerzyna,17.97349,54.10326
2215011,Reda,18.33954,54.61729
1608013,Dobrodzień,18.45154,50.72782
2404112,Mykanów,19.16457,50.93216
2408011,Łaziska Górne,18.85177,50.14410
2213052,Kaliska,18.18526,53.89807
1607013,Głuchołazy,17.37246,50.33970
2001022,Augustów,22.92610,53.83115
417011,Wąbrzeźno,18.95024,53.27829
405032,Golub-Dobrzyń,19.08985,53.14056
3018063,Mikstat,17.98548,51.52978
1206063,Krzeszowice,19.61732,50.13685
1403132,Wilga,21.40241,51.84740
1405062,Żabia Wola,20.67601,52.00522
1413052,Strzegowo,20.31007,52.91881
3024011,Obrzycko,16.52874,52.70192
3007112,Żelazków,18.15196,51.83680
2414021,Imielin,19.20108,50.14304
1415022,Czarnia,21.17308,53.33764
1416112,Zaręby Kościelne,22.13553,52.74693
1609012,Chrząstowice,18.08888,50.65295
1435022,Długosiodło,21.57627,52.76394
2819012,Budry,21.86376,54.27682
3019093,Wysoka,17.07255,53.19251
3207043,Międzyzdroje,14.47579,53.87861
604022,Dołhobyczów,24.00725,50.53526
417052,Ryńsk,18.90748,53.25561
808063,Zbąszynek,15.79716,52.26024
